N,Year,Title,Authors,Journal,Impact_factor_2019
26,2019,Agilité et conception de filière : le cas de la montre SWATCH,"Brunelle Marche,Vincent Boly,Laure Morel,Frédérique Mayer,Roland Ortt",technologie et innovation,NA
27,2019,Innovation Spaces in Universities: Support for Collaborative Learning,"Lorena Delgado,Daniel Galvez,Alaa Hassan,Pedro Palominos,Laure Morel",journal of innovation economics & management,NA
28,2019,Review of the AFIS 2018 Academy-Industry meetings in Nancy -The celebration of the 20th anniversary of AFIS!,"Eric Levrat,Eric Bonjour,David Gouyon,Pascale Marangé,Frédérique Mayer,Hervé Panetto,Jean-Claude Tucoulou",insight - international council on systems engineering (incose),NA
29,2019,Application of Decision-Making Methods in Smart City Projects: A Systematic Literature Review,"Giang Tran Thi Hoang,Laurent Dupont,Mauricio Camargo",smart cities,NA
30,2019,Agile innovation: Creating value in uncertain environments,Laurent Dupont,journal of innovation economics & management,NA
31,2019,Communautés et agilité : la complexité de l’organisation innovante,"Florence Crespin-Mazet,Karine Goglio-Primard,Claude Guittard,Laurent Dupont",innovations - revue d’économie et de management de l'innovation,NA
32,2019,Living lab as a support to trust for co-creation of value: application to the consumer energy market,"Laurent Dupont,Joëlle Mastelic,Nathalie Nyffeler,Sophie Latrille,Eric Seulliet",journal of innovation economics & management,NA
33,2019,Confiance et Technologie : Deux Dimensions de l’Innovation Ouverte et Agile appliquée à l’Énergie,"Laurent Dupont,Joëlle Mastelic,Nathalie Nyffeler,Sophie Latrille,Eric Seulliet",technologie et innovation,NA
35,2019,Innovation Agile : Regards Pluridisciplinaires,"Laurent Dupont,Laure Morel",technologie et innovation,NA
39,2019,A green procurement methodology based on Kraljic Matrix for supplier`s evaluation and selection: a case study from the chemical sector,"Felipe Sanchez Garzon,Manon Enjolras,Mauricio Camargo,Laure Morel",supply chain forum: an international journal,NA
40,2019,Le caractère dynamique et évolutif de la notion d’innovation : Quelles conséquences pour l’évaluation de la capacité à innover des entreprises ?,"Manon Enjolras,Daniel Galvez,Johan Claire,Mauricio Camargo,Vincent Boly",technologie et innovation,NA
41,2019,Agility and product supply chain design: The case of the Swatch,"Brunelle Marche,Vincent Boly,Laure Morel,Frédérique Mayer,Roland Ortt",journal of innovation economics & management,NA
43,2019,Are High-Tech Companies More Competitive Than Others? An Empirical Study of Innovative and Exporting French SMEs,"Manon Enjolras,Mauricio Camargo,Christophe Schmitt",technology innovation management review,NA
17,2020,Chemical product design integrating MCDA : Performance prediction and human preferences modelling,"Oscar Yesid Suárez Palacios,Paulo César Narváez Rincón,Mauricio Camargo,Jean-Pierre Corriou,Christian Fonteix",the canadian journal of chemical engineering,1.687
16,2020,Sustainable risk management strategy selection using a fuzzy multi-criteria decision approach,"Abla Mimi Edjossan-Sossou,Daniel Galvez,Olivier Deck,Marwan Al Heib,Thierry Verdel,Laurent Dupont,Olivier Chery,Mauricio Camargo,Laure Morel",international journal of disaster risk reduction,2.896
20,2020,Mechanical Properties of Direct Waste Printing of Polylactic Acid with Universal Pellets Extruder: Comparison to Fused Filament Fabrication on Open-Source Desktop Three-Dimensional Printers,"Arthur Alexandre,Fabio Cruz Sanchez,Hakim Boudaoud,Mauricio Camargo,Joshua Pearce",3d printing and additive manufacturing,3.579
1,2020,An Approach Based on Bayesian Network for Improving Project Management Maturity: An Application to Reduce Cost Overrun Risks in Engineering Projects,"Felipe Sanchez,Eric Bonjour,Jean-Pierre Micaelli,Davy Monticolo",computers in industry,3.954
4,2020,3D printing: An emerging opportunity for soil science,"Javier Arrieta-Escobar,Delphine Derrien,Stéphanie Ouvrard,Elnaz Asadollahi-Yazdi,Alaa Hassan,Vincent Boly,Anne-Julie Tinet,Marie-France Dignac",geoderma,4.848
19,2020,Plastic recycling in additive manufacturing: a systematic literature review and opportunities for the circular economy,"Fabio Cruz Sanchez,Hakim Boudaoud,Mauricio Camargo,Joshua Pearce",journal of cleaner production,7.246
10,2020,Closed loop supply chain network for local and distributed plastic recycling for 3D printing: a MILP-based optimization approach,"Pavlo Santander,Fabio Cruz Sanchez,Hakim Boudaoud,Mauricio Camargo","resources, conservation and recycling",8.086
2,2020,Challenges and trends in the valuation of ecosystem services in agro-ecosystems: a systematic revision,"Vadimir Melgarejo-Carreno,Sandra Cecilia Bautista Rodríguez,Mauricio Camargo",tropical and subtropical agroecosystems,NA
3,2020,Industrial Symbiosis and Territorial Development: The Cross-Fertilization of Proximity Dynamics and the Role of Information and Knowledge Flows,Fedoua Kasmi,journal of the knowledge economy,NA
