Url;Title;Authors;Type.document;DOI;Year;Journal;Publisher;Conference;Language
https://hal.archives-ouvertes.fr/hal-02942017;Use of Bayesian Network characteristics to link project management maturity and risk of project overcost;Felipe Sanchez,Davy Monticolo,Eric Bonjour,Jean-Pierre Micaëlli;COMM;10.1109/SITIS.2018.00071;2018;;;2018 14th International Conference on Signal-Image Technology & Internet-Based Systems (SITIS);en
https://tel.archives-ouvertes.fr/tel-01946850;From product design to supply chain design : Which methodologies for the upstream stages of innovation?,De la conception de produit à la conception de filière : Quelles méthodologies pour les étapes amont de l’innovation ?;Brunelle Marche;THESE;;2018;;;;en
https://hal.univ-lorraine.fr/hal-02507166;Conception et évaluation de systèmes d'innovation pour mieux mobiliser les bois en petite propriété forestière privée;Maxence Arnould,Laure Morel,Meriem Fournier;COMM;;2018;;;7 èmes journées du GDR 3544 « Sciences du bois »;fr
https://hal.univ-lorraine.fr/tel-02103198;Favoriser l’adoption des mobilités actives : proposition d’une démarche de conception centrée usage pour accompagner un territoire dans l’élaboration de ses politiques de transport,Promote adoption of active mobility : a use-centered design approach to help territory to develop transport policies;Aline Convolte;THESE;;2018;;;;fr
https://hal.archives-ouvertes.fr/hal-01954565;Spécification système d'interactions physico-physiologiques de perception sensorielle;Frédérique Mayer,Jean-Marc Dupont,Fabien Bouffaron,Romain Lieber,Gérard Morel;COMM;;2018;;;3e Journées de l’Automatique du GDR MACS, JAMACS 2018;fr
https://hal.archives-ouvertes.fr/hal-02568271;Livrable 2 - projet DHDA – Des Hommes et Des Arbres\, les racines de demain. Lauréat de l’AMI Territoire Innovant de Grande Ambition (TIGA) étude 8 La Fabrique DHDA (mise en perspective du mode Living Lab sur l’écosystème du projet);Claudine Guidat,Laurent Dupont,Mathieu Ruillet;REPORT;;2018;;;;fr
https://hal.univ-lorraine.fr/hal-01902960;Innovation Spaces: New Places for Collective Intelligence?;Laure Morel,Laurent Dupont,Marie-Reine Boudarel;COUV;;2018;;;;en
https://hal.archives-ouvertes.fr/hal-01910588;Trends in design of distributed energy systems using hydrogen as energy vector: A systematic literature review;Juan Fonseca,Mauricio Camargo,Jean-Marc Commenge,Laurent Falk,Iván Gil;ART;10.1016/j.ijhydene.2018.09.177;2018;International Journal of Hydrogen Energy;Elsevier;;en
https://hal.univ-lorraine.fr/hal-01885133;Air quality monitoring using stationary versus mobile sensing units: a case study from Lorraine\, France;Adriana-Simona Mihaita,Laurent Dupont,Olivier Cherry,Mauricio Camargo,Chen Cai;COMM;;2018;;;25th ITS World Congress 2018;en
https://hal.univ-lorraine.fr/hal-01895196;La performance au bloc opératoire : le Lean Six-sigma est-il applicable et pertinent ?;Fabienne Paillet,Auguste Rakotondranaivo,Elisabeth Gloaguen.;COMM;;2018;;;9ème conférence francophone en Gestion et Ingénierie des Systèmes Hospitaliers - GISEH;fr
