uri_s,title_s,authFullName_s,docType_s,doiId_s,publicationDateY_i,producedDate_s,journalTitle_s,journalPublisher_s,conferenceTitle_s,language_s
https://hal.archives-ouvertes.fr/hal-00738116,The Human side of organizational change : improving appropriation of project evolutions,"Perotti Clement,Stéphanie Minel,Benoît Roussel,Jean Renaud",ART,10.3917/proj.010.0041,2012,2012,International Journal of Projectics,,,en
https://hal.inria.fr/hal-01388218,From Model Based Systems Engineering to Model Based System Realization: Role and Relevance of IVTV Plan,"Vincent Chapurlat,Eric Bonjour",COMM,10.1007/978-3-662-44739-0_14,2014,2014-09-20,,,IFIP International Conference on Advances in Production Management Systems (APMS),en
https://hal.archives-ouvertes.fr/hal-02017276,An Integrated Methodology for Emulsified Cosmetic Product Formulation Using Integer Programming with Logical Constraints,"Javier Arrieta-Escobar,Fernando Bernardo,Alvaro Orjuela,Mauricio Camargo,Laure Morel",COUV,10.1016/B978-0-444-63965-3.50166-5,2017,2017,,,,en
https://hal.univ-lorraine.fr/hal-01522601,Multicriteria Analysis and Case‐Based Reasoning: Applications to the Training of Young Doctors in the Context of Breast Mammogram,"Jean Renaud,Christian Fonteix,Mauricio Camargo,Aline Deruyver,Laure Morel,Didier Casner",ART,,2013,2013,InImpact : The Journal of Innovation Impact,Future Technology Press,,en
https://hal.archives-ouvertes.fr/hal-01582548,Collaborative Innovation Projects Engaging open communities: a Case Study on Emerging Challenges,"Laurent Dupont,Alex Gabriel,Mauricio Camargo,Claudine Guidat",COMM,10.1109/ICE.2017.8280002,2017,2017-06-27,,,"23rd ICE/IEEE International Conference on Technology, Management and Innovation",en
https://hal.archives-ouvertes.fr/hal-02446557,Espaces et nouvelles formes d’organisation du travail créatif,"Sophie Boutillier,Ignasi Capdevila,Laurent Dupont,Laure Morel",ART,10.3917/inno.061.0005,2020,2020-01-20,Innovations - Revue d’économie et de management de l'innovation,De Boeck Supérieur,,fr
https://hal.archives-ouvertes.fr/hal-02878132,Collaborative spaces promoting creativity and innovation,"Sophie Boutillier,Ignasi Capdevila,Laurent Dupont,Laure Morel",ART,10.3917/jie.031.0001,2020,2020-01-23,Journal of Innovation Economics & Management,De Boeck Supérieur,,en
https://hal-univ-lyon3.archives-ouvertes.fr/hal-02166163,A Step for improving the transition between traditional Project Management to Agile Project Management,"Felipe Sanchez Garzon,Jean-Pierre Micaëlli,Eric Bonjour,Davy Monticolo",ART,10.19255/JMPM01906,2019,2019-05,The Journal of Modern Project Management,jmpm,,en
https://hal.archives-ouvertes.fr/hal-02157341,"Vers une meilleure compréhension du concept de design,Towards a Better Understanding of the Concept of Design,Hacia una mejor comprensión del concepto de diseño","Linda Acosta Salgado,Laure Morel,Isabelle Verilhac",ART,10.3917/proj.020.0091,2018,2018,Projectics / Proyéctica / Projectique,De Boeck Supérieur,,fr
https://hal.univ-lorraine.fr/hal-02266705,Innovation in chemical engineering industries,"Olivier Potier,Mauricio Camargo",COUV,10.1002/9781118562130.ch11,2013,2013,,,,en
