Year;Type.document;Title;Authors;DOI;Journal;Scimago<br/>Engineering;Scimago<br/>Decision<br/>Sciences;Publisher;Conference;Language;Url;H.Factor
2020;COMM;Reconfiguraciones críticas : Implicaciones de ser usuario o recurso en prácticas de diseño centrado en el usuario,Critical reconfigurations: Implications of being a user or resource in user-centered design practices;Alejandro Salas,Giovanny Arbelaez Garces;NA;NA;NA;NA;NA;3er Coloquio Nacional de Estudios Sociales de las Ciencias y la Tecnologías: Frente a los retos de la democracia en el siglo XXI;es;https://hal.univ-lorraine.fr/hal-03114693;NA
2020;COMM;Safety assessment of scenarios for the simulation-based validation process of AV with regards to its functional insufficiencies;Tchoya Florence Koné,Eric Bonjour,Eric Levrat,Frédérique Mayer,Stéphane Géronimi;NA;NA;NA;NA;NA;30th European Safety and Reliability Conference and 15th Probabilitic Safety Assessment and Management Conference, ESREL 2020 PSAM 15;en;https://hal.archives-ouvertes.fr/hal-02984932;NA
2020;COMM;Gestion informatisée des lits : état des lieux et analyse a priori des impacts multicritères;Auguste Rakotondranaivo,Sophie Pottier;NA;NA;NA;NA;NA;10ème conférence Francophone en Gestion et Ingénierie des Systèmes Hospitaliers, GISEH2020;fr;https://hal-uphf.archives-ouvertes.fr/hal-03198921;NA
2020;COMM;Gestion informatisée des lits : état des lieux et analyse a priori des impacts multicritères;Auguste Rakotondranaivo,Sophie Pottier;NA;NA;NA;NA;NA;10ème conférence Francophone en Gestion et Ingénierie des Systèmes Hospitaliers, GISEH2020;fr;https://hal-uphf.archives-ouvertes.fr/hal-03198939;NA
2020;COMM;Design Thinking to Enhance Requirements Analysis in Systems Engineering;J. Batista,A. Hassan,E. Bonjour;10.1017/dsd.2020.257;NA;NA;NA;NA;DESIGN 2020;en;https://hal.archives-ouvertes.fr/hal-02942122;NA
2020;COMM;Gestion informatisée des lits : état des lieux et analyse a priori des impacts multicritères.;Auguste Rakotondranaivo,Sophie Pottier;NA;NA;NA;NA;NA;10ème conférence francophone en Gestion et Ingénierie des Systèmes Hospitaliers;fr;https://hal.univ-lorraine.fr/hal-03005576;NA
2020;COMM;A Biocompatible 3-D printable Cellulose-based Material for Soil Science Research;Javier Arrieta-Escobar,Nicolas Valette,Apolline Auclerc,Delphine Derrien,S. Ouvrard,Alaa Hassan,Vincent Boly,Véronique Falk,Marie-France Dignac;NA;NA;NA;NA;NA;5th International Conference on Bioinspired and Biobased Chemistry and Materials;en;https://hal.univ-lorraine.fr/hal-03030804;NA
2020;COMM;Decision support tool for the food supply chain to prevent undernutrition in the elderly at home;Auguste Rakotondranaivo,Christine Miro,Sarah Ferhah,Nathalie Rouyer;NA;NA;NA;NA;NA;SHeIC 2020 : Smart Health International Conference;en;https://hal.univ-lorraine.fr/hal-03005570;NA
2020;COMM;A contingency approach of the SMEs internationalization practices: A case study in the United States;Benoît Gaussin,Manon Enjolras,Vincent Boly;NA;NA;NA;NA;NA;International Conference on Management of Technology (IAMOT);en;https://hal.univ-lorraine.fr/hal-03042965;NA
2020;COMM;The challenge of SMEs’ Export: The case of Argentine wine companies;Soledad Gili,Manon Enjolras,Mauricio Camargo;NA;NA;NA;NA;NA;International Conference on Management of Technology (IAMOT);en;https://hal.univ-lorraine.fr/hal-03042960;NA
2020;COMM;Current Approaches on Chemical Product Design: A Study of Opportunities Identification for Integrated Methodologies;Javier Arrieta-Escobar,Mauricio Camargo,Alvaro Orjuela,Laure Morel;NA;NA;NA;NA;NA;29th International Conference of the International Association for Management of Technology, IAMOT 2020;en;https://hal.univ-lorraine.fr/hal-03096713;NA
2020;COMM;Exploring the Relationship Between Customer Needs and Product Target Specifications for Cosmetic Emulsions;Juliana Serna Rodas,Javier Arrieta-Escobar,Manon Enjolras,Fatima Ezzahra Hamdani;NA;NA;NA;NA;NA;International Conference on Management of Technology (IAMOT);en;https://hal.univ-lorraine.fr/hal-03042982;NA
2020;COMM;Innovation Stories Platform: A Holistic Framework for Innovation Case Studies;Fatima Ezzahra Hamdani,Manon Enjolras,Vincent Boly;NA;NA;NA;NA;NA;International Conference on Management of Technology (IAMOT);en;https://hal.univ-lorraine.fr/hal-03042944;NA
2020;COMM;Définition d'une méthodologie d'indexation de documents textuels par étiquetage de séquences : application aux offres d'emploi;H Ramdani,A Brun,E Bonjour,D Monticolo;NA;NA;NA;NA;NA;Conférence Nationale sur les Applications Pratiques de l’Intelligence Artificielle - APIA 2020;fr;https://hal.inria.fr/hal-02974679;NA
2020;COMM;Connecting the strategic intent of innovation labs and projects: the case of the Green Fablab;Thibaut Roux-Marchand,Fabio Cruz,Laurent Dupont,Mauricio Camargo,Ferney Osorio;10.1109/ICE/ITMC49519.2020.9198320;NA;NA;NA;NA;2020 IEEE International Conference on Engineering, Technology and Innovation (ICE/ITMC);en;https://hal.archives-ouvertes.fr/hal-02941900;NA
2020;COMM;Designing interactive museum visitors' experience using a Fab Living Lab platform: the Museum-Aquarium of Nancy case;Ievgeniia Ten,Giovanny Arbelaez-Garces,Laurent Dupont;10.1109/ICE/ITMC49519.2020.9198641;NA;NA;NA;NA;2020 IEEE International Conference on Engineering, Technology and Innovation (ICE/ITMC);en;https://hal.univ-lorraine.fr/hal-02941618;NA
2020;COMM;Analysis of SMEs' innovation capability: Towards a taxonomic approach based on internal and contextual factors;Manon Enjolras,Daniel Galvez Manriquez,Mauricio Camargo,Christophe Schmitt;NA;NA;NA;NA;NA;International Conference on Engineering, Technology and Innovation (ICE-IEEE);en;https://hal.univ-lorraine.fr/hal-03042992;NA
2020;COMM;Applying a Living Lab Approach to Smart Grid Training Course Design;Alex Gabriel,Kévin Berger,Laurent Dupont,Valerie Rault,Mauricio Camargo,Frédérique Mayer;10.1109/ICE/ITMC49519.2020.9198604;NA;NA;NA;NA;2020 IEEE International Conference on Engineering, Technology and Innovation (ICE/ITMC);en;https://hal.archives-ouvertes.fr/hal-02884574;NA
2020;COMM;Developing a territorial diagnostic as part of a living lab process: Implementation to improve management and wood mobilization in small French private forest;Maxence Arnould,Laure Morel,Meriem Fournier;NA;NA;NA;NA;NA;IEEE International Conference on Engineering, Technology and Innovation (ICE/ITMC);en;https://hal.univ-lorraine.fr/hal-03023080;NA
2020;COMM;Development of an IMU-based ergonomics assessment tool for virtual reality;Giovanny Arbelaez Garces,Julien Michaux,Mauricio Camargo,Nicolas Ferveur;10.20870/IJVR.2020...3316;NA;NA;NA;NA;ConVRgence (VRIC) Virtual Reality International Conference Proceedings;en;https://hal.univ-lorraine.fr/hal-02565428;NA
2020;COMM;Reliability of virtual reality for user experience in spatial cognition: an exploratory approach;Anaëlle Hily,Christel Jacob,Laurent Dupont,Giovanny Arbelaez,Jérôme Dinet,Mauricio Camargo;NA;NA;NA;NA;NA;ConVRgence (VRIC) Virtual Reality International Conference 2020;en;https://hal.archives-ouvertes.fr/hal-02553833;NA
2020;COMM;Physiological assessment of User eXprience supported by Immersive Environments: First input from a literature review;Mariela Martinez,Giovanny Arbelaez Garces,Laurent Dupont,Anaëlle Hily,Mauricio Camargo,Christel Jacob,Jérôme Dinet;NA;NA;NA;NA;NA;ConVRgence (VRIC) Virtual Reality International Conference;en;https://hal.archives-ouvertes.fr/hal-02551341;NA
2020;COMM;From technological demonstrator to sustainable supply chain demonstrator: a conceptual framework;Brunelle Marche,Fedoua Kasmi,Fabio Sanchez,Frédérique Mayer,Laurent Dupont;NA;NA;NA;NA;NA;Spring of Innovation;en;https://hal.archives-ouvertes.fr/hal-02500528;NA
2020;COMM;Living lab organization and practices as useful tools to stimulate innovation in forestry practices;Maxence Arnould,Laure Morel,Meriem Fournier;NA;NA;NA;NA;NA;Governing and managing forests for multiple ecosystem services across the globe;en;https://hal.univ-lorraine.fr/hal-02507196;NA
2020;COUV;Sustainability assessment for chemical product and process design during early design stages;Paulo César Narváez Rincón,Juliana Serna,Álvaro Orjuela,Mauricio Camargo;10.1016/B978-0-12-818376-2.00001-6;NA;NA;NA;NA;NA;en;https://hal.archives-ouvertes.fr/hal-03140936;NA
2020;OTHER;“Do-It-Together” and innovation\, towards the Factories of the Future (FoF);Laurent Dupont,Fedoua Kasmi,Joshua M. Pearce,Roland Ortt;NA;journal of innovation economics & management;NA;NA;De Boeck Supérieur;NA;en;https://hal.univ-lorraine.fr/hal-03024062;NA
2020;OTHER;Les espaces Do It Yourself\, vivre ou survivre ?;Laurent Dupont,Laure Morel;NA;NA;NA;NA;NA;NA;fr;https://hal.archives-ouvertes.fr/hal-02878128;NA
2020;POSTER;Thermoplastic elastomer filaments for multi-polymer structures by fused deposition modeling;Jennifer Villamil,A El Akroud,Sandrine Hoppe,Hakim Boudaoud,Cécile Nouvel;NA;NA;NA;NA;NA;, 48ème International Colloquium of the French Polymer Society GFP;en;https://hal.archives-ouvertes.fr/hal-02520650;NA
2020;THESE;Optimal Configuration of Distributed Energy Systems with Hydrogen as Energy Carrier under Sustainability Criteria,Configuration optimale des systèmes d'énergie distribuée avec l'hydrogène comme vecteur d'énergie selon les critères de durabilité;Juan Fonseca;NA;NA;NA;NA;NA;NA;en;https://hal.univ-lorraine.fr/tel-03132500;NA
2020;UNDEFINED;System control of situations perceived by their simplexity: case-study and open-issues;Frédérique Mayer,Jean-Marc Dupont,David Gouyon,Eric Levrat,Jean-Pierre Hennebicq,Gérard Morel;NA;NA;NA;NA;NA;NA;en;https://hal.archives-ouvertes.fr/hal-02487442;NA
