"","Year","Title","Journal","QScimago","IF2010","IF2011","IF2012","IF2013","IF2014","IF2015","IF2016","IF2017","IF2018","IF2019","IF2020","IF2021","IF2022","Impact.Factor","IF"
"51",2020,"Conversion of self-contained breathing apparatus mask to open source powered air-purifying particulate respirator for fire fighter COVID-19 response","hardwarex","Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"52",2020,"Partially RepRapable automated open source bag valve mask-based ventilator","hardwarex","Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"53",2020,"Parametric nasopharyngeal swab for sampling COVID-19 and other respiratory viruses: Open source design\, SLA 3-D printing and UV curing system","hardwarex","Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"54",2020,"Open source high-temperature RepRap for 3-D printing heat-sterilizable PPE and other applications","hardwarex","Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"55",2020,"Evaluating Innovation and Export Capabilities of SMEs: Toward a Multi-Criteria Decision-Making Methodology","journal of technology management and innovation","Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"56",2020,"Plastic recycling in additive manufacturing: a systematic literature review and opportunities for the circular economy","journal of cleaner production","Q1",2.43,2.727,3.398,3.59,3.844,4.959,5.715,5.651,6.395,7.246,9.297,11.072,11.1,9.297,"Avec FI"
"57",2020,"An Approach Based on Bayesian Network for Improving Project Management Maturity: An Application to Reduce Cost Overrun Risks in Engineering Projects","computers in industry","Q1",1.62,1.529,1.709,1.457,1.287,1.685,2.691,2.85,4.769,3.954,7.635,11.245,10,7.635,"Avec FI"
"58",2020,"Analysis and Improvement of an Innovative Solution Through Risk Reduction: Application to Home Care for the Elderly","advances in science, technology and engineering systems journal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"59",2020,"Digitalization and SMEs’ Export Management: Impacts on Resources and Capabilities","technology innovation management review","Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"60",2020,"How do Institutions Promote Digital Marketing in Small and Medium International Companies: Comparison between Costa Rica and France","technology innovation management review","Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"61",2020,"Mechanical Properties of Direct Waste Printing of Polylactic Acid with Universal Pellets Extruder: Comparison to Fused Filament Fabrication on Open-Source Desktop Three-Dimensional Printers","3d printing and additive manufacturing","Q1",NA,NA,NA,NA,NA,NA,3.389,2.304,3.259,3.579,5.449,5.355,3.1,5.449,"Avec FI"
"62",2020,"Closed loop supply chain network for local and distributed plastic recycling for 3D printing: a MILP-based optimization approach","resources conservation and recycling","Q1",1.974,1.759,2.319,2.692,2.564,3.28,3.313,5.12,7.044,8.086,10.204,13.716,13.2,10.204,"Avec FI"
"63",2020,"Challenges and trends in the valuation of ecosystem services in agro-ecosystems: a systematic revision","tropical and subtropical agroecosystems","Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"64",2020,"Industrial Symbiosis and Territorial Development: The Cross-Fertilization of Proximity Dynamics and the Role of Information and Knowledge Flows","journal of the knowledge economy","Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"65",2020,"Collaborative spaces promoting creativity and innovation","journal of innovation economics & management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"66",2020,"Espaces et nouvelles formes d’organisation du travail créatif","innovations - revue d’économie et de management de l'innovation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"67",2020,"Sustainable risk management strategy selection using a fuzzy multi-criteria decision approach","international journal of disaster risk reduction","Q1",NA,NA,NA,NA,NA,1.242,1.603,1.968,2.568,2.896,4.32,4.842,5,4.32,"Avec FI"
"68",2020,"Towards smart and suitable management of roadsides: System dynamics in the era of industry 4.0","sustainable operations and computers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"69",2020,"A review of open source ventilators for COVID-19 and future pandemics","f1000research","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"70",2020,"Characterization of Best Practices for Customer/Supplier Collaboration in Co-innovation Projects","journal of technology management and innovation","Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"71",2020,"Perspectives d'émergence d'une filière forêt-chimie des extractibles Points de vue des acteurs du Nord-Est de la France et du Sud-Ouest de l'Allemagne,Perspektiven zur Entstehung einer neuen Wertschöpfungskette Wald – Chemie der Holzinhalts-stoffe. Standpunkte der Akteure in Nordost-Frankreich und Südwest-Deutschland,Prospects for the Emergence of a Forests/Extractive Chemicals industry. Points of View of Players in North-eastern France and South-West Germany","revue forestière française",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"72",2020,"Shaping a Public Innovation Laboratory in Bogota: Learning through Time\, Space and Stakeholders","journal of innovation economics & management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"73",2020,"Innovation et agilité - identification de stratégies de déploiement pour le développement des PME","projectics / proyéctica / projectique",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"74",2019,"Review of the AFIS 2018 Academy-Industry meetings in Nancy -The celebration of the 20th anniversary of AFIS!","insight - international council on systems engineering (incose)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"75",2019,"Challenges for autonomous vehicles (AVs) engineering: Safety validation of functional performance limitations","insight - international council on systems engineering (incose)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"76",2019,"Editorial - Special issue on System of Systems Engineering","systems engineering","Q2",0.791,0.42,0.656,0.923,0.7,0.956,0.5,0.797,0.848,1,1.449,2.034,2,1,"Avec FI"
"77",2019,"Interface modeling for product‐service system integration","systems engineering","Q2",0.791,0.42,0.656,0.923,0.7,0.956,0.5,0.797,0.848,1,1.449,2.034,2,1,"Avec FI"
"78",2019,"Application of Decision-Making Methods in Smart City Projects","smart cities","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"79",2019,"A green procurement methodology based on Kraljic Matrix for supplier`s evaluation and selection: a case study from the chemical sector","supply chain forum: an international journal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"80",2019,"Evaluating air quality by combining stationary\, smart mobile pollution monitoring and data-driven modelling","journal of cleaner production","Q1",2.43,2.727,3.398,3.59,3.844,4.959,5.715,5.651,6.395,7.246,9.297,11.072,11.1,7.246,"Avec FI"
"81",2019,"Understanding user representations\, a new development path for supporting Smart City policy: Evaluation of the electric car use in Lorraine Region","technological forecasting and social change","Q1",2.034,1.709,2.106,1.959,2.058,2.678,2.625,3.131,3.815,5.846,8.593,10.884,12,5.846,"Avec FI"
"82",2019,"Methodology to design ontologies from organizational models: application to creativity workshops","ai edam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"83",2019,"A Step for improving the transition between traditional Project Management to Agile Project Management","the journal of modern project management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"84",2019,"Multiobjective optimization for the design of phase III biorefinery sustainable supply chain","journal of cleaner production","Q1",2.43,2.727,3.398,3.59,3.844,4.959,5.715,5.651,6.395,7.246,9.297,11.072,11.1,7.246,"Avec FI"
"85",2019,"Are High-Tech Companies More Competitive Than Others? An Empirical Study of Innovative and Exporting French SMEs","technology innovation management review","Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"86",2019,"Design and management of innovation laboratories: Toward a performance assessment tool","creativity and innovation management","Q1",NA,NA,0.855,0.714,1.016,1.143,1.423,1.553,2.015,2.113,3.051,3.644,3.5,2.113,"Avec FI"
"87",2019,"Confiance et Technologie,Confidence and Technology","technologie et innovation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"88",2019,"Agile innovation: Creating value in uncertain environments","journal of innovation economics & management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"89",2019,"Process and resource selection methodology in design for additive manufacturing","international journal of advanced manufacturing technology","Q1",1.071,1.103,1.205,1.779,1.458,1.568,2.209,2.601,2.496,2.633,3.226,3.563,3.4,2.633,"Avec FI"
"90",2019,"Communautés et agilité : la complexité de l’organisation innovante,Knowledge communities and creative agility","innovations - revue d’économie et de management de l'innovation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"91",2019,"Agilité et conception de filière : le cas de la montre SWATCH","technologie et innovation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"92",2019,"Innovation Agile : Regards Pluridisciplinaires,Agile Innovation: Multidisciplinary Approaches","technologie et innovation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"93",2019,"Innovation Spaces in Universities: Support for Collaborative Learning","journal of innovation economics & management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"94",2019,"Le caractère dynamique et évolutif de la notion d’innovation : Quelles conséquences pour l’évaluation de la capacité à innover des entreprises ?","technologie et innovation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"95",2019,"Living lab as a support to trust for co-creation of value: application to the consumer energy market","journal of innovation economics & management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"96",2019,"Agility and product supply chain design: The case of the Swatch","journal of innovation economics & management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"97",2018,"A new framework to support Lean Six Sigma deployment in SMEs","international journal of lean six sigma","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.511,3.329,5.686,4,NA,"No FI"
"98",2018,"Numerical method for nonlinear complex eigenvalues problems depending on two parameters: Application to three-layered viscoelastic composite structures","mechanics of advanced materials and structures","Q2",0.734,0.926,0.701,0.664,0.773,1,1.196,2.645,2.873,3.517,4.03,3.338,2.8,2.873,"Avec FI"
